PREFIXO: ;E3-066
NOME DO POSTO: ;GASPAR RICARDO
MUNICÍPIO: ;SAO VICENTE
CURSO D'ÁGUA: ;BRANCO/BRANCO DA CONCEICAO,R
LATITUDE: ;23°58'00"
LONGITUDE: ;46°30'00"
 
Obs: valores com --- representam dados inexistentes.
 
Dados de chuva (mm)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  09/1959;  6,4;  0,0;  7,0; 25,0; 13,7;  2,3;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 65,4;  0,0;  0,0;  0,0;  0,0;  0,0;  3,0;  7,0;  0,0;  0,0;  0,0;  2,0;  9,0;  9,3;  0,0;  0,0;0,0;0,0;---;65,4;150,1
  10/1959;  0,0;  0,0;  0,0;  1,3;  5,0;  5,3;  2,5;  0,0;  0,0;  0,0;  0,0; 15,0;  8,0;  0,0;  0,0;  3,0; 70,1; 45,0;  1,4;  0,0; 17,0;  3,0;  2,5;  0,0;  0,0;  0,0;  0,0;  0,0;25,0;0,0;0,0;70,1;204,1
  11/1959;  4,0;  0,0;  0,0;  0,0;  0,0;  2,0;  6,0;  2,0; 26,7;  0,9;  0,0;106,0; 50,4;  3,5;  0,0;  5,8;  0,0;  0,0; 10,4; 12,4;  0,6; 60,0; 17,8;  0,0;  0,0; 15,5; 14,4;  2,0;0,0;0,0;---;106,0;340,4
  12/1959;  0,0;  0,0;  0,0;  0,0; 25,2; 50,0; 10,9; 19,6; 26,7; 15,0;  7,9; 22,7;  3,9;  0,0;  0,0;  0,0;  0,0; 36,0; 14,0;  7,0; 25,0; 12,0;  6,0;  0,0; 25,0; 20,8;  0,0;  0,0;0,0;0,0;0,0;50,0;327,7
  01/1960; 20,0; 10,3; 15,0;  0,0;  0,0;  6,5;  5,4; 17,0; 13,0; 10,3; 14,3;330,3;230,5;  9,0;  0,0;  0,0;  0,0; 10,9; 40,5;  1,3;  2,0; 11,3; 28,0;  0,0; 10,8;  0,0;  0,0;  0,0;0,0;0,0;0,0;330,3;786,4
  02/1960;105,0;  7,1; 11,3;  4,1;  2,2;  0,0; 12,8; 24,7; 40,3;  0,0;  0,3;  1,1; 74,4; 24,9; 15,4;  5,7; 10,0;  0,0;  5,1; 11,5; 67,5; 62,3;  9,8;  0,5;  9,5;200,8;  5,9;  8,8;50,1;---;---;200,8;771,1
  03/1960; 11,9;  2,8;  9,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 10,0;  2,2;  0,0; 17,4; 10,7;  0,0;  0,0;  0,0;  0,0;  5,6;  1,2;  3,5;  4,0;  5,8; 13,3;  4,0;  0,0;0,0;0,0;0,0;17,4;101,9
  04/1960;  0,5;  9,0; 32,9;  0,0;155,7;  3,1;  0,0;  1,7;  0,0;  4,0; 58,2;  4,4;  0,0; 10,3;  0,0;  0,0;  0,0;  0,0; 22,4;  6,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 25,5;  4,3;25,6;7,0;---;155,7;370,6
  05/1960;  0,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  1,4;  0,0;  7,2;  6,4; 12,2; 39,2;  0,0;  0,0;  0,0;  8,8; 11,2; 15,4;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;1,0;10,2;3,0;39,2;116,2
  06/1960;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  5,0;  5,2; 11,0;  1,0;  0,0;  0,2; 12,8;  0,0;  0,0;  0,0;  0,2;  9,2;  1,0;  0,0;  5,8; 32,8;  2,8;0,0;0,0;---;32,8;87,0
