PREFIXO: ;E3-065
NOME DO POSTO: ;GASPAR RICARDO (EFS)
MUNICÍPIO: ;SAO VICENTE
CURSO D'ÁGUA: ;BRANCO/BRANCO DA CONCEICAO,R
LATITUDE: ;23°58'00"
LONGITUDE: ;46°30'00"
 
Obs: valores com --- representam dados inexistentes.
 
Dados de chuva (mm)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  04/1941;  0,0;  4,7;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  4,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 14,0; 10,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;14,0;32,7
  05/1941;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 10,3;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 20,0; 35,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,3;35,0;65,6
  06/1941;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 10,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 30,3; 18,0;  0,0;  0,0;0,0;0,0;---;30,3;58,3
  07/1941;  0,0;  0,0;  0,0;  4,7; 10,0;  0,0;  0,0;  0,0;  0,3;  7,0; 30,4;  0,6;  0,0; 35,0; 40,0;  0,0; 25,0; 35,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,3;  0,4;  0,0;0,0;0,0;0,0;40,0;188,7
  08/1941;  0,0;  0,0;  0,7; 20,1; 10,4; 34,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 10,4;  7,0; 16,0; 11,3;  4,0;  0,0;  0,0;  0,0;  0,0;  0,0;  6,0;  2,0;  0,0;0,0;0,0;0,0;34,0;121,9
  09/1941;  0,0;  0,0;  0,0;  0,0; 10,3;  2,0; 10,4;  8,0; 14,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 20,4; 10,1;  0,0;  0,0;  5,0; 10,9; 23,0; 41,0; 10,1; 27,0; 20,1; 17,0; 30,7;0,0;0,0;---;41,0;260,0
  10/1941;  0,0;  0,0;  0,0;  0,0;  0,0; 40,3; 10,0;  7,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,2;  7,1; 10,0;  6,0;  0,4;  0,0;  0,0;  2,0;  2,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,6;40,3;85,6
  11/1941;  0,6;  0,4; 10,0;  0,0;  0,0; 17,0; 23,0; 34,0; 39,0; 10,0;  0,0;  0,0; 24,3; 18,0;  0,8;  0,0;  0,7;  0,4;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 10,0;0,0;0,0;---;39,0;188,2
  12/1941;  0,0;  0,0;  0,0;  0,3;  0,7;  0,4;  0,7;  0,4;  0,0;  0,0; 10,1; 20,7;  8,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  4,0;  8,0; 10,4;  8,4;  4,0;  0,0;  0,0;  0,0;0,0;10,1;10,4;20,7;96,6
  02/1942;  0,2;  0,4;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,2;  0,0;  0,2;  0,4;  0,2;  0,4;  0,2;  0,4;  0,6; 41,2;  0,8;  0,3;  0,3;  0,6;  0,0;  0,2;  0,0;  0,2;  0,4;---;---;---;41,2;47,2
