PREFIXO: ;E3-063
NOME DO POSTO: ;PAI MATIAS (EFS)
MUNICÍPIO: ;SAO VICENTE
CURSO D'ÁGUA: ;CUBATAO,R (07 - BAIXADA SANTISTA)
LATITUDE: ;23°57'00"
LONGITUDE: ;46°32'00"
 
Obs: valores com --- representam dados inexistentes.
 
Dados de chuva (mm)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  07/1941;  0,0;  4,7;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 15,0; 42,0; 27,0;  0,0;  0,0;  0,0;  5,8; 12,3; 21,9;  0,2;  0,0;  0,0;  0,0; 20,8; 10,6;  0,0;  0,0;  0,0;  1,5;  3,5;0,0;0,0;0,0;42,0;165,3
  08/1941;  0,0;  0,0; 50,5;  0,0;  0,7; 16,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,2;  0,8;  3,5; 18,5; 15,5;  0,0;  0,0;  0,0;  0,0;  3,5;  4,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;50,5;113,7
  09/1941;  0,0; 10,0;  0,5; 10,5;  5,0; 15,5;  0,0;  0,0;  0,0;  1,0;  2,5;  0,3; 13,0; 12,0;  9,0;  6,0;  2,5;  8,5;  4,5;  4,0; 10,5;  6,5;  8,5; 12,0; 14,0;  3,5;  4,5;  6,0;7,5;9,0;---;15,5;186,8
  10/1941;  3,5;  9,5;  8,0; 12,0;  4,5;  6,5;  3,0;  6,0;  0,0;  0,0;  0,0; 27,5;  0,0;  0,0;  0,0; 17,5;  2,5;  0,0;  0,0;  0,0;  7,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;6,5;3,5;27,5;118,0
  12/1941;  0,3;  0,4;  0,0;  0,8;  0,0;  0,0;  0,5;  0,2;  0,2;  0,0; 18,6; 70,8; 60,0; 60,0; 30,0; 17,0;  0,0;  0,0; 15,5; 19,0; 22,0; 20,5; 16,5; 19,0;  5,0;  3,5;  0,0;  0,0;0,0;0,0;3,5;70,8;383,3
  01/1942; 86,7;  0,0;  0,0;  0,0;  0,0; 57,1;  0,0;  0,0;  0,0;  0,0;  8,5;  0,0;  0,0;  0,0;  0,0;  1,5;  0,0;  0,0;  0,0;  0,0; 37,5;  1,0;  0,0; 37,5;  0,0;  0,0;  0,0; 31,0;0,0;0,0;0,0;86,7;260,8
  02/1942;  0,5;  0,3;  0,0; 30,1;  0,0;  0,0;  0,0;  1,5; 14,0;  0,0; 15,5;  2,0; 19,5;  0,0;  0,0;  0,0; 20,4;  0,0; 23,0;140,5;170,0;  0,0; 14,5;  0,0; 22,5;  0,0;  0,0;  0,0;---;---;---;170,0;474,3
  03/1942; 16,5; 40,5; 14,0; 14,0;  0,0;  0,0;  0,0; 20,0;  0,0; 18,0;  7,0; 12,5; 28,0; 13,0;  0,0;  0,0; 57,5; 41,5;  2,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 21,5;58,0;1,5;4,5;58,0;370,5
  04/1942; 34,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 31,0; 15,5; 11,5; 43,5; 97,5;  0,0;  6,0;  5,5; 38,0; 38,0; 12,5; 13,5; 34,5;  0,0;  0,0;  0,0; 22,5;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;97,5;404,0
  05/1942;  8,4;  0,0;  2,3;  3,5; 12,3;  2,8;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 31,0;  3,9;  0,0;  0,0;  0,0;  0,0;  4,4;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;8,2;8,2;0,0;31,0;85,0
  06/1942;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  1,5;  0,0; 14,4;  6,4; 42,4;  1,4;  0,0;  0,0;  0,0; 24,1; 24,7;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 20,3;  0,0;  0,0;0,0;0,0;---;42,4;135,2
  07/1942;  0,0;  0,0;  5,4; 41,9;  0,0;  0,0;  0,0;  0,0;  4,9; 22,5; 12,4;  0,0;  0,0;  0,0;  0,5;  2,0;  0,0;  0,0;  7,4;  0,0;  0,0;  0,0;  3,1; 12,7;  0,0;  0,0;  0,0;  0,0;0,0;1,2;1,1;41,9;115,1
  08/1942;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  2,3;  0,0;  0,0;  0,0;  0,0; 25,1;  2,3;  0,0;  0,0;  0,0;  0,0; 18,8;  0,0;  4,4;  3,3;  0,0;  0,0;  1,8; 10,6;  8,4;  0,0;0,0;0,0;0,0;25,1;77,0
  09/1942;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  8,7; 26,5;  8,3; 20,5;  0,0;  0,0;  0,0;  0,0;  0,0; 15,2;  0,0;  0,0;  0,0;0,0;0,0;---;26,5;79,2
  10/1942;  9,0; 21,0; 10,0;  2,7;  5,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 19,0; 18,5;  6,0;  7,0;  0,0;  0,0;  0,0; 10,4; 20,4; 10,1; 30,6;  0,0;  0,0;10,3;0,0;0,0;30,6;180,0
  11/1942;  0,0;  0,0; 10,1;  0,0;  0,0;  0,0;  0,0;  0,0; 15,2; 10,4;  0,0;  0,0; 20,2;  2,0;  0,0;  5,0; 10,3; 20,4; 70,5;  0,0;  0,0; 20,4;  0,0;  0,0;  0,0;  0,0; 10,2; 20,5;0,0;0,0;---;70,5;215,2
  12/1942; 50,0;100,0;110,0; 10,0;  7,0;  0,0;  0,0;  0,0; 10,3;  0,0;  0,0;  0,0;  0,0;  0,0;120,0; 20,0; 25,0; 12,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 20,0; 21,0;  0,0;  0,0;0,0;15,0;0,0;120,0;520,3
  01/1943;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  6,3;  0,0;  1,4;  0,0;  0,0;  0,0;  3,2;  1,5;  0,0;  0,0;  0,0;  4,5;  5,5;  5,0;  3,3;  2,0;  1,9;  1,2;  0,0;  3,5;  0,0;1,0;1,8;2,9;6,3;45,0
  02/1943;  1,9;  4,5;  1,9;  2,9;  0,0;  0,0;  0,0;  0,0;  1,5;  0,4;  0,5;  1,2;  0,3;  0,0;  0,9;  3,0;  0,0;  1,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  5,0;  0,0;  0,0;---;---;---;5,0;25,0
  03/1943;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  1,0;  2,1;  0,0;  0,0;  0,0;  0,0;  1,5;  0,0; 40,0;  2,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;1,4;0,0;40,0;48,0
  04/1943;  8,0; 10,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 30,5;  0,0;  0,0;  0,0;  0,0;  0,0;  2,0; 20,4;  0,0;  4,9;  0,0;  0,0;  0,0;  7,0;  0,0;  0,0; 10,3;  6,0;5,0;0,0;---;30,5;104,3
  05/1943;  0,0;  0,0; 10,8;  0,0;  0,0;  0,0;  0,0;  0,0; 10,1;  0,0; 10,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  5,0;  2,1;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;10,8;38,2
  06/1943;297,5; 25,0;  0,0;  0,0;  0,0;  0,2;  0,0;  0,0;  0,0;  4,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 30,2; 40,4; 11,1;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;297,5;408,4
  07/1943;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 10,6;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 20,5; 10,2; 10,4;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;20,5;51,7
  08/1943;  0,0;  0,0; 20,9; 30,2; 40,3; 40,5; 40,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 30,5; 20,9;  0,0;  0,0;  0,0;  0,0;  0,0; 20,2; 30,1; 40,5; 10,5; 10,5;  0,0;  0,0;0,0;0,0;0,0;40,5;335,6
  09/1943;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 10,1;  0,0;  0,0; 30,7;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 10,1; 30,5; 30,1; 30,1; 20,2; 10,0;  0,0;0,0;0,0;---;30,7;171,8
  10/1943;  0,0;  0,0;  0,0;  0,0; 20,5; 30,6;  0,0;  0,0;  0,0;  0,0; 10,4; 70,2; 10,8; 40,2; 10,6; 20,5; 10,2; 20,8;  0,0;  0,0; 15,2; 28,1; 19,0; 30,4; 10,5;  0,0;  0,0; 40,0;30,4;20,8;50,1;70,2;489,3
  11/1943;  0,0; 10,0;  0,0;  0,0;  0,0;  0,0; 17,0; 10,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 11,1;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 10,5; 40,6; 20,2; 20,0;  0,0;  0,0;10,8;21,5;---;40,6;171,7
  12/1943;  0,0; 10,8;  0,0; 20,5;  0,0; 20,2;  0,0; 10,2;  0,0;  0,0;  0,0;  0,0;  0,0; 10,5; 10,6;  0,2; 13,0;  9,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;8,0;15,0;35,0;35,0;163,0
  01/1944; 28,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 37,0;  0,0;  0,0;  0,0;  0,0; 10,0; 27,0; 17,0; 38,0;  0,0;  0,0;  0,0;  0,0;  0,0; 20,3; 10,6; 20,0;  0,0;0,0;0,0;0,0;38,0;207,9
  02/1944; 20,0; 10,2; 80,5; 60,5; 10,0;  0,0; 50,1;  0,0;  0,0; 50,2;  0,0;  0,0;  0,0;  0,0;  0,0;  9,0;  0,0;150,4;190,0; 40,8;  0,0; 20,1;  0,0;  0,0; 30,1;  0,0; 50,1;150,3;10,1;---;---;190,0;932,4
  03/1944;  8,5;  4,3;  0,0;  4,0;  0,8;  0,9; 10,2;  0,0; 10,2; 10,8;  0,0;  0,0; 20,0;220,4;  0,5;  2,0;  0,0; 23,0;  2,3;151,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;220,4;468,9
  04/1944;  0,0; 20,7;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 40,0; 10,6;  0,0;  0,0;  0,0; 70,9; 60,2;  3,0; 75,0;184,0; 10,3;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;184,0;474,7
  05/1944; 20,7;  0,0;  0,0;  0,0; 10,7;  0,0;  0,0;  0,0;  0,0;  0,0; 50,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 20,0;  0,0;  0,0;  0,0;  0,0; 17,0;  0,0;  0,0;0,0;0,0;0,0;50,2;118,6
