PREFIXO: ;E3-062
NOME DO POSTO: ;ENGENHEIRO FERRAZ (EFS)
MUNICÍPIO: ;SAO VICENTE
CURSO D'ÁGUA: ;CAPIVARI,R (07 - BAIXADA SANTISTA)
LATITUDE: ;23°59'00"
LONGITUDE: ;46°37'00"
 
Obs: valores com --- representam dados inexistentes.
 
Dados de chuva (mm)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  04/1941;  1,5;  1,6;  0,0;  0,0;  0,5;  0,0;  0,0;  0,0;  0,6;  0,0;  0,0;  0,0;  0,2;  0,0;  0,0;  0,0;  0,0;  4,4;  3,7;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;4,4;12,5
  05/1941;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 30,0; 35,0;  0,0;  0,0;  0,0;  0,0;  0,0; 15,0; 60,0; 80,0; 32,0;  2,0;  4,0;  3,8;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  3,0;0,0;0,0;1,0;80,0;265,8
  06/1941;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  5,0;  3,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  2,0;  5,0;  1,0;  0,0;0,0;0,0;---;5,0;16,0
  07/1941;  0,0;  0,0;  0,0;  0,0;  0,4;  0,0;  0,0;  0,0;  0,0;  8,5;  4,0;  0,0;  0,0;  0,0;  0,4;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;8,5;13,3
  08/1941;  0,0;  0,0;  0,8;  2,1;  2,0;  1,8;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  1,2;  0,5;  2,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;2,1;10,4
  09/1941;  0,0;  0,0;  0,0;  3,2;  1,6;  2,3;  0,0;  0,0;  0,0;  3,3;  0,3;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,9;  0,1;  0,0;  1,0;  4,4;  1,5;  0,5;  0,5;  5,7;  0,0;  0,0;0,0;0,0;---;5,7;25,3
  10/1941;  6,0;  0,0;  0,5;  0,0;  0,0;  6,0;  8,0;  6,0;  8,0;  6,0;  1,0; 48,0;  0,0;  0,0;  0,0;  5,0; 50,0;  0,0;  0,0;  0,0; 25,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;50,0;169,5
  11/1941; 35,0;  0,0;  0,0;  0,4;  0,0;  0,2; 40,0; 50,0; 30,0;  0,1;  0,0;  0,0;  0,3;  0,3;  0,0;  0,0; 46,0;  0,5;  0,0;  0,0;  0,0; 14,0;  0,0;  0,0;  0,0;  0,0; 20,0;  0,0;0,0;0,0;---;50,0;236,8
  12/1941;  0,6;  7,0;  7,0;  1,0;  0,3;  0,1;  0,0;  0,0;  0,1;  0,8;  0,0;  0,0;  0,6;  0,0;  0,0;  0,3;  0,6;  0,1;  0,7;  0,0;  0,5;  0,3;  0,8;  0,2;  0,7;  0,1;  0,0;  0,0;0,2;0,3;0,1;7,0;22,4
  02/1942;  3,0;  1,5;  0,7;  1,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  1,0;  1,5;  1,5;  1,6;  1,6; 20,0; 30,0; 10,0;  1,3; 11,0; 11,6;  1,5;  0,0;---;---;---;30,0;98,8
  03/1942; 54,0;  0,0; 16,0;  0,0; 27,0; 50,0; 16,0; 15,0;  0,0;  0,0; 21,0; 22,0; 39,0;  0,0;  0,0; 12,0; 47,0;  0,0;  0,0; 20,0; 22,0; 21,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;105,0;80,0;115,0;115,0;682,0
  04/1942;  0,0;  2,5;  0,0;  0,0;  0,0;  0,0;  3,5;  0,5;  0,6;  0,8;  1,2;  2,4;  0,4;  0,6;  0,7;  1,3;  0,5;  0,8;  1,7;  5,3;  0,0;  0,0;  7,2;  0,0;  0,0;  0,0;  0,0;  0,4;0,0;0,1;---;7,2;30,5
  05/1942;  2,4;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  4,5;  2,6;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 18,0;  0,0;  0,0;  5,4;  0,0;  0,0;  0,0;5,8;0,0;0,0;18,0;38,7
  06/1942;  0,0;  0,0;  0,0;  0,0;  0,0;  9,0;  0,0;  0,0;  9,0; 30,0; 26,0;  0,0;  0,0;  0,0; 10,1;  6,0; 20,4; 50,0;  0,0;  9,0; 30,8;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 17,2;0,0;0,0;---;50,0;217,5
  07/1942; 10,0;  0,0;  4,1; 50,6; 17,7;  0,0;  0,0;  0,0;  0,0; 32,1; 10,3;  0,7;  0,6;  0,0;  0,0; 40,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 10,6; 77,4;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;77,4;254,1
  08/1942;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,4;  0,0;  0,0;  0,0;  1,1; 10,4;  8,6;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 10,9; 10,1; 20,0;  0,8;  0,0;0,0;0,0;0,0;20,0;62,3
  09/1942;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  1,0;  0,0;  0,0;  0,8;  3,0;  0,0;  0,0;  0,4;  1,0;  2,2;  0,0;  1,2;  0,0;  0,0;  0,0;  2,6;  0,0;  0,0;  0,0;  4,1;  0,0;  0,0;5,5;0,0;---;5,5;21,8
  10/1942;  0,0;  0,0; 70,3;  0,0;  0,0;  0,0; 17,5;  0,0;  0,0; 10,1; 12,1;  0,0;  0,0;  0,0;  0,5;  0,9; 50,6;  3,4;  2,0;  0,0;  0,0;  0,0;  0,0;  2,1;  0,0; 48,0;  0,0;  0,0;56,5;12,6;0,0;70,3;286,6
  11/1942;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  1,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  1,5;  6,0; 80,4;  1,5;  2,0;  0,0;  0,0;  0,0;  0,0;  0,0;  1,5;  0,0;0,0;0,0;---;80,4;93,9
  12/1942;  0,8;  0,6;  0,6; 12,0;  0,0;  0,0;  0,0; 10,4;  0,0;  0,0;  0,0;  0,0;  0,0; 25,0; 30,0; 60,0; 60,0; 10,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,7;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;60,0;210,1
  01/1943;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  6,5;  0,0;  0,0;  0,0;  0,0;  0,0; 32,0;  0,0;  0,0;  0,0;  0,0; 19,4; 20,1; 60,5;  0,0;  0,0;  2,5; 10,5;  0,0;  0,0;  0,0;0,0;10,9;30,5;60,5;192,9
