PREFIXO: ;E3-056
NOME DO POSTO: ;SAO VICENTE
MUNICÍPIO: ;SAO VICENTE
CURSO D'ÁGUA: ;
LATITUDE: ;23°57'37"
LONGITUDE: ;46°21'53"
 
Obs: valores com --- representam dados inexistentes.
 
Dados de chuva (mm)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  06/1940; 45,0;  0,0;  1,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 13,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 34,5;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;45,0;94,0
  07/1940;  0,3;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  1,1; 10,4;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,3;  3,0;  0,0;  0,0;  0,0;  0,0;  0,0;5,0;0,0;0,0;10,4;20,1
  08/1940;  0,0;  0,0;  7,5;  0,0;  0,0;  0,0;  5,0; 46,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 20,6; 19,5;0,0;0,0;0,0;46,5;99,1
  09/1940;  4,7;  0,4;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 30,5;  0,0; 20,8;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 29,5;  0,0; 11,5; 69,1; 36,1;  1,0;  0,0;0,0;0,0;---;69,1;203,6
  10/1940;  0,0;  0,0;  5,1;  0,5;  0,1;  0,0;  0,0;  0,7;  0,3;  4,3; 17,4; 45,2; 22,8;  0,0;  0,0;  0,0;  0,0;  0,7; 40,5; 10,0;  1,0;  7,1;  0,0;  0,0;  2,0;  2,8; 38,5; 15,8;37,8;0,3;3,7;45,2;256,6
  11/1940;  0,0;  0,0;  0,0;  0,0; 11,0; 30,0; 25,3;  0,0;  1,1;  2,8;  0,6;  7,8;  6,0;  5,0; 25,8; 47,5;  7,8;  0,1;  0,0;  0,0;  0,0;  0,0;  0,0;  4,6;  6,8;  3,8;  7,8;  7,8;0,5;0,0;---;47,5;202,1
  12/1940;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 13,0; 10,0;  2,2; 10,7;  2,8; 10,2;  7,2;  0,0;  0,5; 42,5; 47,0; 59,0;  0,0;  0,0;  5,0;  0,0;2,0;0,0;0,0;59,0;212,1
  01/1941; 73,8;  0,7; 42,1;  3,3;  5,0;  0,0;  0,0;  0,0;  0,0;  7,0; 42,2;  0,0;  6,0; 25,6; 13,4;  0,1;  6,5;  4,5;  6,2;  0,1;  0,0;  0,0; 13,2; 60,2; 36,6;  0,0;  0,0;  0,0;0,0;0,0;0,0;73,8;346,5
  02/1941;  0,0;  0,0;115,0;  0,0;  0,0;  8,5; 29,1; 19,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 10,5; 21,2; 24,6;  0,0;  0,0;  2,5;  1,0;  0,6; 28,4; 40,8;  6,0;  0,6;---;---;---;115,0;308,0
  03/1941; 42,2; 35,0; 72,0; 55,2;  0,0;  6,6; 22,8; 27,6;  4,9;  0,0;  0,0; 36,0;  6,0;  0,0;  0,0;  0,0;  7,0; 52,5;  0,0;  0,0;  0,0;103,4; 77,4; 56,8; 14,1;  0,6;  4,3;  3,9;0,0;0,0;0,0;103,4;628,3
  04/1941;  0,6; 18,3; 46,1; 12,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,8;  0,0;  0,0;  0,0;  0,0;102,5;220,7;  0,1;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;220,7;401,3
  05/1941;  0,0;  0,0;  0,0;  0,0;  0,0;  3,3; 35,4; 33,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 85,3; 99,7;  9,8;  0,0;  5,7;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  2,1;0,0;1,5;0,0;99,7;275,8
  06/1941;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 37,0;  0,0;  0,0;  0,0;  0,0;  0,0;  3,3;  0,0;  0,0;  0,0;  2,7;  0,0;  5,8; 23,6;  4,3;  1,0;0,0;0,0;---;37,0;77,7
  07/1941;  0,0;  0,7;  0,0;  0,0;  0,0; 14,0;  0,0;  0,0;  9,5; 10,0; 15,0;  0,0;  0,0;  0,0;  5,9; 33,1; 29,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;2,0;0,0;0,0;33,1;119,2
  08/1941;  0,0;  0,0;  6,5; 18,4;  2,7; 15,4;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  1,9; 10,1;  1,5; 13,0;  5,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;18,4;74,7
  09/1941;  0,0;  0,0;  6,5; 40,6;  0,0; 12,1;160,0;  0,0;  0,0;  0,0;  3,5;  0,5;  4,0; 21,3; 13,8;  0,0;  2,8;  6,8;  0,0;  0,0;  4,5;  2,3;  8,0;  9,7; 10,0;  7,4; 38,5;  0,0;0,0;0,0;---;160,0;352,3
  10/1941;  3,7;  9,0;  0,0;  0,5;  0,0; 67,0;  5,3;  2,5;  7,5;  9,7;  2,2; 20,2;  0,0;  0,0;  0,0;  0,0; 33,0;  3,8;  0,0;  0,0;  0,0;  4,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;1,0;67,0;169,4
  11/1941; 30,5;  0,0;  0,0;  5,0;  2,3; 20,0; 48,0; 16,4; 26,5;  0,0;  0,0;  0,0; 18,8; 17,0;  0,2;  0,0; 72,3; 18,0;  0,3;  0,0;  0,0;  2,3;  1,5;  0,0;  0,0;  0,0; 20,5;  0,0;0,0;0,0;---;72,3;299,6
  12/1941;  0,0; 98,4;  2,5; 12,0; 11,4;  0,0;  0,0;  0,0;  0,0;  3,9; 11,7;  6,9;  0,0;  0,0;  2,4; 64,0;  0,0; 10,9;  1,8;  3,5;  3,8;  6,8;  8,0;  0,4; 30,8;  0,8;  0,0;  0,0;0,0;0,0;11,7;98,4;291,7
  01/1942;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  4,4;  0,0;  0,0;  0,6;0,0;0,0;4,0;4,4;9,0
  02/1942; 38,5;  0,8; 21,0; 11,5;  1,5;  0,0;  0,0;  0,8; 35,2;  0,0;  5,5;  0,0;  0,0; 42,5;  0,0;  0,0;  0,0; 98,2;115,7; 31,3; 18,4;  0,0; 17,2;  0,0;  0,0;  0,0;  0,0;  1,0;---;---;---;115,7;439,1
  03/1942;  0,0; 40,0;  0,0;  0,0;  0,0; 12,1;  0,0;  0,3;  0,0; 13,0; 10,0; 42,0;  1,5;  5,0;  0,0;  0,0;  0,0; 30,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;54,0;0,0;22,5;54,0;230,4
  04/1942;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 72,0; 33,0;  6,8; 20,2;  0,0;  0,0;  2,0;  0,0; 31,0; 19,0;  2,8;  1,0; 14,0; 29,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;72,0;230,8
  05/1942;  1,0;  0,0;  0,0;  0,0; 25,6;  0,7;  0,0; 15,8;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  9,0;  1,6;  0,0;  1,5;  0,0;  0,0;  2,9;0,0;0,0;0,0;25,6;58,1
  06/1942;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  3,1; 13,9; 71,8;  0,0;  0,0;  0,0;  0,0; 16,5; 27,8;  0,5;  0,0;  0,0;  1,2;  1,8;  0,0;  0,0;  0,0;  0,0;  0,9;  5,7;0,0;0,0;---;71,8;143,2
  07/1942;  0,0;  0,0;  9,0; 38,0;  5,8;  0,0;  0,0;  0,0;  3,0; 28,4; 13,9;  0,0;  2,9;  0,0;  0,0;  0,0;  0,0;  0,0;  7,3;  0,0;  0,0;  0,0;  2,5;  6,4;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;38,0;117,2
  08/1942;  0,0;  0,0;  0,0;  0,1;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,6;  0,0;  0,0;  0,0;  0,0;  0,0; 22,3;  4,6;  0,0; 32,4;  4,2;  0,0;  9,5;  5,4;  0,0;0,0;0,0;0,0;32,4;79,1
